country,country_code,governing_body,clubs,players,national_teams
Afghanistan,AFG,AFC,0,215,"['M', 'F']"
Albania,ALB,UEFA,17,584,"['M', 'F']"
Algeria,ALG,CAF,0,550,"['M', 'F']"
American Samoa,ASA,OFC,0,55,['M']
Andorra,AND,UEFA,11,151,"['M', 'F']"
Angola,ANG,CAF,0,328,"['M', 'F']"
Anguilla,AIA,CONCACAF,0,137,"['M', 'F']"
Antigua and Barbuda,ATG,CONCACAF,1,180,"['M', 'F']"
Argentina,ARG,CONMEBOL,41,5224,"['M', 'F']"
Armenia,ARM,UEFA,16,294,"['M', 'F']"
Aruba,ARU,CONCACAF,0,163,"['M', 'F']"
Australia,AUS,AFC,24,1646,"['M', 'F']"
Austria,AUT,UEFA,43,1968,"['M', 'F']"
Azerbaijan,AZE,UEFA,21,303,"['M', 'F']"
Bahamas,BAH,CONCACAF,0,126,['M']
Bahrain,BHR,AFC,0,225,"['M', 'F']"
Bangladesh,BAN,AFC,0,188,"['M', 'F']"
Barbados,BRB,CONCACAF,0,199,"['M', 'F']"
Belarus,BLR,UEFA,18,426,"['M', 'F']"
Belgium,BEL,UEFA,69,3154,"['M', 'F']"
Belize,BLZ,CONCACAF,0,156,['M']
Benin,BEN,CAF,0,166,"['M', 'F']"
Bermuda,BER,CONCACAF,0,172,['M']
Bhutan,BHU,AFC,0,117,"['M', 'F']"
Bolivia,BOL,CONMEBOL,31,1301,"['M', 'F']"
Bonaire,BOE,CONCACAF,0,5,
Bosnia and Herzegovina,BIH,UEFA,18,1027,"['M', 'F']"
Botswana,BOT,CAF,0,211,"['M', 'F']"
Brazil,BRA,CONMEBOL,102,9627,"['M', 'F']"
British Virgin Islands,VGB,CONCACAF,0,117,['M']
Brunei Darussalam,BRU,AFC,0,78,['M']
Bulgaria,BUL,UEFA,48,2010,"['M', 'F']"
Burkina Faso,BFA,CAF,0,303,"['M', 'F']"
Burundi,BDI,CAF,0,172,"['M', 'F']"
Cambodia,CAM,AFC,0,155,"['M', 'F']"
Cameroon,CMR,CAF,0,886,"['M', 'F']"
Canada,CAN,CONCACAF,21,1032,"['M', 'F']"
Cape Verde,CPV,CAF,0,193,"['M', 'F']"
Cayman Islands,CAY,CONCACAF,0,145,"['M', 'F']"
Central African Republic,CTA,CAF,0,160,['M']
Chad,CHA,CAF,0,117,['M']
Chile,CHI,CONMEBOL,28,1733,"['M', 'F']"
China PR,CHN,AFC,34,1574,"['M', 'F']"
Chinese Taipei,TPE,AFC,0,238,"['M', 'F']"
Colombia,COL,CONMEBOL,29,2891,"['M', 'F']"
Commonwealth of Independent States,CIS,FIFA,0,19,
Comoros,COM,CAF,0,145,['M']
Congo,CGO,CAF,0,266,"['M', 'F']"
Congo DR,COD,CAF,0,399,"['M', 'F']"
Cook Islands,COK,OFC,0,79,"['M', 'F']"
